,Unnamed: 0,place,time,pace,age,gender,location,state,divPlace,divTot
0,0,4494,92.25,9.225,38.0,M,Chesapeake Beach MD,MD,690.0,1093.0
1,1,6298,106.35,10.635,33.0,M,Washington DC,DC,1322.0,1490.0
2,2,2502,89.33,8.933,55.0,F,McLean VA,VA,37.0,236.0
3,3,8176,113.5,11.35,24.0,F,Alexandria VA,VA,878.0,974.0
4,4,3413,86.52,8.652000000000001,54.0,M,San Francisco CA,CA,213.0,483.0
5,5,8008,112.3,11.23,42.0,F,Chevy Chase MD,MD,785.0,974.0
6,6,8791,118.45,11.845,36.0,F,Fairfax VA,VA,1215.0,1367.0
7,7,3987,95.17,9.517,25.0,F,Arlington VA,VA,1230.0,2782.0
8,8,3451,93.25,9.325,25.0,F,Philadelphia PA,PA,1074.0,2782.0
9,9,1046,72.37,7.237,43.0,M,Pasadena MD,MD,111.0,931.0
10,10,3484,86.9,8.69,55.0,M,Falls Church VA,VA,138.0,375.0
11,11,2987,84.47,8.447000000000001,30.0,M,Potomac MD,MD,659.0,1490.0
12,12,4427,96.65,9.665,39.0,F,Walnut CA,CA,587.0,1367.0
13,13,6496,108.93,10.893,40.0,M,Springfield VA,VA,846.0,931.0
14,14,5827,101.58,10.158,30.0,F,Washington DC,DC,1297.0,2228.0
15,15,1224,82.78,8.277999999999999,24.0,F,Arlington VA,VA,164.0,974.0
16,16,4942,98.32,9.832,45.0,F,Potomac MD,MD,255.0,554.0
17,17,9579,134.18,13.418,33.0,F,Sterling VA,VA,2189.0,2228.0
18,18,6425,107.98,10.798,41.0,M,Arlington VA,VA,831.0,931.0
19,19,5951,102.08,10.208,36.0,F,Alexandria VA,VA,809.0,1367.0
20,20,8609,116.78,11.678,38.0,F,Edison NJ,NJ,1189.0,1367.0
21,21,3586,87.42,8.742,45.0,M,Branchville NJ,NJ,314.0,648.0
22,22,3823,94.58,9.458,35.0,F,New Market MD,MD,517.0,1367.0
23,23,2123,79.25,7.925,37.0,M,McLean VA,VA,307.0,1093.0
24,24,4517,92.37,9.237,23.0,M,Washington DC,DC,229.0,347.0
